Xavier Institute of Engineering,,,,,,,,,,,,
"Mahim Causeway, Opp. Raheja Hospital, Mumbai - 400 016,Mumbai,400 016",,,,,,,,,,,,
Accession Register,,,,,,,,,,,,
 Accession number from 000001 to 013194,,,,,,,,,,,,
,,,,,,,,,,,,
Date,Accession Number,Author,Title-Edition-ISBN,Publisher Details,Year,Pages,ISBN,Supplier,Call Number,Price,Bill No. & date,
15-May-05,000001,"Dhogal, P. S.",Basic electrical engineering volume - I .-1st .-9780074515860,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1985,"xiv, 257 p.",9780074515860,Union Book Stall,"621.3DHO","1,100.00","B:T-21/200515-May-2005",
,000002,,,,,,,,,,,
,000003,,,,,,,,,,,
,000004,,,,,,,,,,,
,000005,,,,,,,,,,,
,000006,,,,,,,,,,,
,000007,,,,,,,,,,,
,000008,,,,,,,,,,,
,000009,,,,,,,,,,,
,000010,,,,,,,,,,,
15-May-05,000011,"Dhogal, P. S.",Basic electrical engineering volume - II .-0-07-451587-X,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1987,"xIv, 259-466 p.",0-07-451587-X,Union Book Stall,"621.3DHO",950.00,"B:T-21/200515-May-2005",
,000012,,,,,,,,,,,
,000013,,,,,,,,,,,
,000014,,,,,,,,,,,
,000015,,,,,,,,,,,
,000016,,,,,,,,,,,
,000017,,,,,,,,,,,
,000018,,,,,,,,,,,
,000019,,,,,,,,,,,
,000020,,,,,,,,,,,
15-May-05,000021,"Mittle, V. N.",Basic electrical engineering .-1st .-9780074516324,"Tata McGraw-Hill Publishing Company Limited, Delhi",1990,"xxi, 697 p.",9780074516324,Union Book Stall,"621.3MIT",780.00,"B:T-23/200515-May-2005",
,000022,,,,,,,,,,,
,000023,,,,,,,,,,,
,000024,,,,,,,,,,,
15-May-05,000025,"Davis, Gordon B. & Olson, Margrethe H.","Management information systems : conceptual foundations, structure, and development .-2nd .-9780070402676","Tata McGraw-Hill Publishing Company Limited, New Delhi",2000,"IX, 693 p.",9780070402676,Union Book Stall,"658.403 8DAV",390.00,"B:T-21/200515-May-2005",
,000026,,,,,,,,,,,
15-May-05,000027,"Nagrath, I. J. & Kothari, D. P.",Power system engineering .-1st .-9780070647916,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1994,"xv, 838 p.",9780070647916,Union Book Stall,"621.381 044NAG",550.00,"B:T-23/200515-May-2005",
,000028,,,,,,,,,,,
15-May-05,000029,"Zienkiewicz, O. C.",The finite element method .-3rd .-9780070996946,"Tata Mcgraw Hill, New Delhi",1979,"xiv, 257 p.",9780070996946,Union Book Stall,"620.001 515 35ZIE",730.00,"B:T-22/200515-May-2005",
,000030,,,,,,,,,,,
15-May-05,000031,"Cathey, Jimmie J. & Nasar, Syed A.",Schaum's outline of theory and problems of basic electrical engineering .-2nd .-9780070584037,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2004,"viii, 335 p.",9780070584037,Union Book Stall,"621.3CAT",370.00,"B:T-21/200515-May-2005",
,000032,,,,,,,,,,,
15-May-05,000033,"Skolnik, Merrill I.",Introduction to radar systems .-3rd .-9780070445338,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2004,"xii, 772 p.",9780070445338,Union Book Stall,"621.384 8SKO",570.00,"B:T-23/200515-May-2005",
,000034,,,,,,,,,,,
15-May-05,000035,"Leon-Garcia, Alberto & Widjaja, Indra",Communication networks : fundamental concepts and key architectures .-2nd .-9780070595019,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2004,"xxvii, 900 p.",9780070595019,Union Book Stall,"621.382 1LEO",650.00,"B:T-23/200515-May-2005",
,000036,,,,,,,,,,,
15-May-05,000037,"Alexander, Charles K. & Sadiku, Matthew N. O.",Fundamentals of electric circuits .-2nd .-9780070584945,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2003,"xviii, 694 p.",9780070584945,Union Book Stall,"621.381 32ALE",495.00,"B:T-21/200515-May-2005",
15-May-05,000038,"Das, Sumitabha",Unix : concepts and applications .-3rd .-9780070635463,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2003,"xxiii, 671 p.",9780070635463,Union Book Stall,"005.432DAS",260.00,"B:T-21/200515-May-2005",
15-May-05,000039,CIStems,Internet : an introduction .-1st .-0074632227,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1999,129 p.,0074632227,Union Book Stall,"004.678CIS",96.00,"B:T-21/200515-May-2005",
15-May-05,000040,"Jain, R. P.",Modern digital electronics .-3rd .-9780070494923,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2003,"xxiv, 611 p.",9780070494923,Union Book Stall,"621.381JAI",450.00,"B:T-22/200515-May-2005",
,000041,,,,,,,,,,,
15-May-05,000042,"Naidu, M. S. & Kamaraju, V.",High voltage engineering .-3rd .-9780070494640,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2004,"xii, 462 p.",9780070494640,Union Book Stall,"621.31KAM",390.00,"B:T-23/200515-May-2005",
,000043,,,,,,,,,,,
15-May-05,000044,"Dasgupta, Indrajit",Design of transformers .-1st .-9780070436404,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2002,"xxvii, 537 p.",9780070436404,Union Book Stall,"621.314DAS",495.00,"B:T-21/200515-May-2005",
15-May-05,000045,"Bronson, Richard",Differential equations : based on Schaum's outline of theory and problems of differential equations .-2nd .-9780070587199,"Tata McGraw-Hill Publishing Company Limited, New Delhi", 2004,"x, 358 p.",9780070587199,Union Book Stall,"515.35BRO",675.00,"B:T-21/200515-May-2005",
,000046,,,,,,,,,,,
,000047,,,,,,,,,,,
15-May-05,000048,"Balagurusamy, E.",Numerical methods .-1st .-0074633112,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1999,"xvi, 608 p.",0074633112,Union Book Stall,"518BAL",390.00,"B:T-21/200515-May-2005",
,000049,,,,,,,,,,,
15-May-05,000050,"Liu, C. L.",Element of discrete mathematics .-2nd .-9780070434769,"Tata McGraw-Hill Publishing Company Limited, Delhi",2000,"xiv, 433 p.",9780070434769,Union Book Stall,"511.1LIU",350.00,"O:15-May-2005B:T-23/200515-May-2011",
,000051,,,,,,,,,,,
15-May-05,000052,"Spiegel, Murray R.; Schiller, John J. & Srinivasan, R. Alu",Probability and statistics .-2nd .-9780070532854,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2004,"viii, 408 p.",9780070532854,Union Book Stall,"519.23SPI",450.00,"B:T-22/200515-May-2005",
,000053,,,,,,,,,,,
15-May-05,000054,"Temes, Lloyd & Schultz, Mitchel E.",Schaum's outline of theory and problems of electronic communications .-2nd .-9780070532854,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2004,"vi, 178 p.",9780070532854,Union Book Stall,"621.382 076TEM",300.00,"B:T-22/200515-May-2005",
,000055,,,,,,,,,,,
15-May-05,000056,"Lipschutz, Seymour & Lipson, Marc Lars",Discrete mathematics .-2nd .-9780070601741,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1997,,9780070601741,Union Book Stall,"511.1LIP",900.00,"B:T-23/200515-May-2005",
,000057,,,,,,,,,,,
,000058,,,,,,,,,,,
,000059,,,,,,,,,,,
15-May-05,000060,"Kahate, Atul",Object-oriented analysis & design .-1st .-9780070583764,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2004,"xxiii, 424 p.",9780070583764,Union Book Stall,"005.117KAH",675.00,"B:T-22/200515-May-2005",
,000061,,,,,,,,,,,
,000062,,,,,,,,,,,
15-May-05,000063,"Lipschutz, Seymour",Schaum's outline of theory and problems of data structures .-1st .-9780070991309,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1986,344 p.,9780070991309,Union Book Stall,"005.73LIP","1,194.00","B:T-23/200515-May-2005",
,000064,,,,,,,,,,,
,000065,,,,,,,,,,,
,000066,,,,,,,,,,,
,000067,,,,,,,,,,,
,000068,,,,,,,,,,,
15-May-05,000069,"Sharma, S. P.",Basic radio and television .-2nd,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2004,700p,,Union Book Stall,"621.388SHA",195.00,"B:T-22/200515-May-2005",
15-May-05,000070,"Bhattacharya, S. K. & Chatterjee, S.",Industrial electronics and control .-1st .-9780074624777,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1995,"xiii, 649 p.",9780074624777,Union Book Stall,"621.381BHA","1,791.00","B:T-21/200515-May-2005",
,000071,,,,,,,,,,,
,000072,,,,,,,,,,,
,000073,,,,,,,,,,,
,000074,,,,,,,,,,,
,000075,,,,,,,,,,,
,000076,,,,,,,,,,,
,000077,,,,,,,,,,,
,000078,,,,,,,,,,,
15-May-05,000079,"Schuler, Charles A. & Chugani, Mahesh L.",Digital signal processing .-1st .-9780070589667,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2005,"xv, 288 p.",9780070589667,Union Book Stall,"621.382 2SCH",750.00,"B:T-22/200515-May-2005",
,000080,,,,,,,,,,,
,000081,,,,,,,,,,,
15-May-05,000082,"Nagrath, I. J. & Gopal, M.",Systems : modelling and analysis .-1st,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1982,"xii, 647 p.",,Union Book Stall,"003.3NAG",650.00,"B:T-23/200515-May-2005",
,000083,,,,,,,,,,,
15-May-05,000084,"Alciatore, David G. & Histand, Michael B.",Introduction to mechatronics and measurement systems .-2nd .-9780070529106,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2003,"xxi, 466 p.",9780070529106,Union Book Stall,"620.101ALC",590.00,"B:T-21/200515-May-2005",
,000085,,,,,,,,,,,
15-May-05,000086,"Karunakaran, S.",Mechatronics .-1st .-9780074636435,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1998,"xviii, 461 p.",9780074636435,Union Book Stall,"620.101KAR",735.00,"B:T-22/200515-May-2005",
,000087,,,,,,,,,,,
,000088,,,,,,,,,,,
